NAME,70-74,2010 pop. Estimate for people ages 70-74,2015 pop. Estimate for people ages 70-74,2020 pop. Projection for people ages 70-74,2025 pop. Projection for people ages 70-74, 2030 pop. Projection for people ages 70-74, 2035 pop. Projection for people ages 70-74, 2040 pop. Projection for people ages 70-74, 2050 pop. Projection for people ages 70-74, 2055 pop. Projection for people ages 70-74, 2060 pop. Projection for people ages 70-74
Alameda County,70-74,38234,49874,70688,81920,92591,97561,98450,102813,104304,115359,112715
Alpine County,70-74,43,61,91,112,102,96,91,81,65,71,67
Amador County,70-74,1920,2377,3020,2989,3005,2934,2535,2366,2345,2372,2383
Butte County,70-74,7454,9170,12085,13260,12198,10557,9903,10175,11054,12039,12179
Calaveras County,70-74,2503,3114,3808,3942,4159,3708,3241,2831,2822,2940,3051
Colusa County,70-74,551,772,963,1131,1161,1122,1133,1102,1055,1167,1113
Contra Costa County,70-74,29621,40066,56848,66606,76829,81662,79616,77253,81122,89863,90780
Del Norte County,70-74,919,1134,1468,1513,1583,1449,1018,936,1002,1038,952
El Dorado County,70-74,6440,8671,11770,13338,14614,13428,10603,9318,9049,9765,10637
Fresno County,70-74,21153,26397,34685,41219,45990,48021,47095,48739,53334,59358,56793
Glenn County,70-74,906,1070,1217,1469,1548,1496,1358,1335,1359,1448,1537
Humboldt County,70-74,4034,5038,7497,8263,8421,7181,5935,6728,7485,7851,6373
Imperial County,70-74,4477,4932,6484,7992,9052,9074,8880,8605,8680,9177,10113
Inyo County,70-74,801,929,1193,1348,1583,1398,1225,1152,1227,1296,1113
Kern County,70-74,18622,22715,28664,34303,40325,40666,38747,40646,44736,50209,50789
Kings County,70-74,2985,3344,4487,5108,5702,5075,4438,4030,4823,6658,6805
Lake County,70-74,2778,3386,4312,4311,4238,3607,3106,2729,2758,3123,3204
Lassen County,70-74,791,1147,1545,1795,1708,1571,1224,947,742,705,629
Los Angeles County,70-74,246945,303673,403804,484902,562607,597980,614845,618057,623405,655921,589350
Madera County,70-74,4257,5113,6352,7167,7860,7547,8128,8959,9809,10870,12019
Marin County,70-74,9267,13694,17896,18253,18070,17579,17768,16766,14342,13383,12802
Mariposa County,70-74,960,1225,1412,1482,1617,1375,1107,1023,1039,1077,1049
Mendocino County,70-74,2940,4233,6202,6101,5530,4759,4469,4475,4577,5040,4700
Merced County,70-74,5655,6968,8807,10180,11800,13026,12984,13888,14885,16699,16573
Modoc County,70-74,474,587,713,668,594,542,496,450,416,426,361
Mono County,70-74,381,476,729,931,1148,1076,897,934,933,1161,969
Monterey County,70-74,9606,12589,17622,20425,22318,21925,22090,23684,25766,27521,24759
Napa County,70-74,4430,5929,7550,8068,8958,8903,8736,8068,8378,9219,9433
Nevada County,70-74,4415,5989,8331,8552,8110,6992,6121,5705,6058,6281,6513
Orange County,70-74,80656,104020,134500,154328,185663,199979,206848,199382,188307,204812,180024
Placer County,70-74,12806,17153,22416,24970,28432,29872,28748,28121,29678,35186,36772
Plumas County,70-74,1073,1364,1667,1654,1464,1171,838,707,741,771,840
Riverside County,70-74,62718,78162,102535,124715,151710,167154,170590,173140,175299,189081,202106
Sacramento County,70-74,36201,44138,63183,73618,84166,87855,87697,91202,100017,110082,102153
San Benito County,70-74,1208,1700,2361,3030,3520,3755,3728,3240,3320,3450,3804
San Bernardino County,70-74,43912,55170,73792,90786,108088,113339,110530,111449,116077,126923,130154
San Diego County,70-74,78411,100322,140028,163065,187004,192662,186967,188680,196879,215133,194258
San Francisco County,70-74,24703,28596,40901,44727,45660,48536,52815,57853,64950,84938,66029
San Joaquin County,70-74,16401,20987,28213,33589,39650,44789,45689,47462,49022,52394,54336
San Luis Obispo County,70-74,8982,12348,17643,21009,21441,19820,17557,16259,17015,18294,18495
San Mateo County,70-74,21713,27035,37317,42324,46898,49567,51581,52887,52915,54983,53270
Santa Barbara County,70-74,11728,13988,18459,21420,24302,24141,22156,22799,24438,27236,26214
Santa Clara County,70-74,46426,59648,78005,92802,111771,122419,124864,129844,132346,142206,125574
Santa Cruz County,70-74,6247,9122,14675,17504,17712,16576,15589,14490,14933,15422,13735
Shasta County,70-74,7063,8736,10294,10822,10966,10409,8827,8289,9179,10189,10544
Sierra County,70-74,165,207,301,293,248,216,148,131,91,114,113
Siskiyou County,70-74,2016,2696,3261,3326,2996,2398,1897,1706,1725,1982,1995
Solano County,70-74,11081,14414,21244,24420,27854,28533,26141,25405,25801,28259,27435
Sonoma County,70-74,14418,21876,31494,35950,38197,37401,35675,34160,37558,42031,40053
Stanislaus County,70-74,12828,15662,20568,24147,27612,29095,28018,27762,29567,32296,30739
Sutter County,70-74,2898,3299,4049,4517,4998,5403,5441,5508,5887,6318,6409
Tehama County,70-74,2506,2883,3350,3328,3623,3542,3007,2880,2775,2862,3278
Trinity County,70-74,670,931,1138,1144,1007,833,550,521,480,487,479
Tulare County,70-74,9880,12259,16318,18012,20619,21695,21692,22525,24774,27647,27905
Tuolumne County,70-74,2720,3335,4139,4382,4332,3715,3210,3027,3231,3450,3446
Ventura County,70-74,21778,28374,38535,45299,53498,54382,50411,47745,47151,50530,50470
Yolo County,70-74,4557,5848,8046,9546,10193,10484,10471,10555,11897,11821,11602
Yuba County,70-74,1854,2106,2893,3326,3801,3955,3943,3990,4528,4862,5128
