NAME,75-79,2010 pop. Estimate for people ages 75-79,2015 pop. Estimate for people ages 75-79,2020 pop. Projection for people ages 75-79,2025 pop. Projection for people ages 75-79, 2030 pop. Projection for people ages 75-79, 2035 pop. Projection for people ages 75-79, 2040 pop. Projection for people ages 75-79, 2050 pop. Projection for people ages 75-79, 2055 pop. Projection for people ages 75-79, 2060 pop. Projection for people ages 75-79
Alameda County,75-79,29316,34759,45259,65063,76306,87271,92512,94080,98781,100807,111953
Alpine County,75-79,30,38,55,78,96,96,87,83,73,60,65
Amador County,75-79,1327,1700,2093,2742,2756,2837,2768,2414,2290,2273,2322
Butte County,75-79,5910,6539,8058,10697,11903,11119,9665,9159,9497,10365,11265
Calaveras County,75-79,1721,2222,2785,3500,3666,3938,3556,3159,2775,2813,2943
Colusa County,75-79,422,482,671,849,1029,1030,1002,1025,1010,979,1079
Contra Costa County,75-79,22438,26392,35990,51821,61213,71531,76585,75217,73453,77471,86283
Del Norte County,75-79,727,792,969,1268,1319,1397,1298,919,846,915,950
El Dorado County,75-79,4686,6007,8129,11220,12906,14282,13219,10745,9548,9308,10083
Fresno County,75-79,16727,18543,23716,31394,37659,42239,44575,43955,45843,50427,56276
Glenn County,75-79,671,796,910,1068,1315,1367,1364,1247,1218,1264,1346
Humboldt County,75-79,3017,3446,4362,6529,7376,7525,6437,5395,6169,6873,7224
Imperial County,75-79,3677,4113,4621,6155,7569,8560,8731,8604,8401,8527,9065
Inyo County,75-79,667,714,822,1049,1213,1439,1295,1134,1078,1145,1223
Kern County,75-79,13666,16005,19472,24903,30157,35740,36326,34926,36847,40848,45954
Kings County,75-79,2276,2638,2811,3920,4470,5055,4554,4032,3683,4435,6150
Lake County,75-79,2026,2350,2880,3732,3782,3748,3252,2825,2497,2532,2873
Lassen County,75-79,563,728,980,1341,1588,1506,1412,1111,847,663,637
Los Angeles County,75-79,193356,221024,273136,368804,447793,524378,561735,582157,588124,597256,630855
Madera County,75-79,3244,3731,4534,5727,6502,7178,6937,7587,8388,9155,10295
Marin County,75-79,6814,8537,12563,16686,17192,17155,16785,17082,16212,13922,13072
Mariposa County,75-79,713,869,1113,1286,1366,1507,1297,1069,997,1011,1057
Mendocino County,75-79,2169,2521,3717,5537,5484,5053,4354,4093,4152,4233,4705
Merced County,75-79,4488,4893,6096,7825,9206,10703,11949,11980,12895,13931,15681
Modoc County,75-79,345,403,522,630,604,541,481,468,418,403,411
Mono County,75-79,210,233,405,666,867,1079,1014,870,891,905,1133
Monterey County,75-79,8103,8646,11305,16086,18908,20805,20561,20810,22541,24618,26469
Napa County,75-79,3618,4338,5582,7139,7803,8677,8731,8634,8083,8416,9301
Nevada County,75-79,3160,3964,5384,7629,7928,7613,6601,5835,5468,5846,6083
Orange County,75-79,63654,73726,94942,124246,143986,174401,189054,197104,190801,181304,197947
Placer County,75-79,10130,12433,16626,21585,24241,27667,29112,28287,27870,29520,34815
Plumas County,75-79,681,942,1216,1507,1491,1371,1074,799,678,717,747
Riverside County,75-79,49427,57935,73928,97438,118356,144274,159608,164162,167491,170599,184637
Sacramento County,75-79,29314,32039,39386,57090,67216,77306,81263,81933,85589,94379,104241
San Benito County,75-79,917,1072,1516,2148,2785,3281,3508,3526,3070,3200,3318
San Bernardino County,75-79,33357,38138,48451,65582,81834,98335,103790,102166,103686,108754,119515
San Diego County,75-79,64240,73995,92707,130469,153478,177197,184167,180104,182869,191686,210103
San Francisco County,75-79,20831,22695,26323,37884,41644,42859,45685,49980,54937,62109,81436
San Joaquin County,75-79,12605,14504,18862,25439,30608,36375,41313,42398,44344,46002,49378
San Luis Obispo County,75-79,7366,8531,11624,16785,19971,20582,19219,17209,16075,16928,18114
San Mateo County,75-79,16903,20277,24849,34617,39608,44081,46913,49080,50519,50733,52939
Santa Barbara County,75-79,10021,10519,12699,16899,19780,22625,22705,20940,21674,23437,26154
Santa Clara County,75-79,36013,43288,55244,72773,87091,105100,115454,118577,123491,126597,136335
Santa Cruz County,75-79,4594,5645,8192,13444,16212,16488,15552,14744,13758,14291,14834
Shasta County,75-79,5335,6084,7509,9021,9557,9866,9451,8063,7596,8467,9489
Sierra County,75-79,142,154,186,274,270,221,199,139,122,86,108
Siskiyou County,75-79,1528,1773,2328,2891,2995,2734,2216,1753,1571,1620,1853
Solano County,75-79,8625,10512,13934,20310,23437,26917,27748,25599,25200,25787,28179
Sonoma County,75-79,11046,13622,20464,29559,34192,36603,36022,34762,33491,36870,41438
Stanislaus County,75-79,9921,11150,13766,18224,21560,24830,26453,25644,25525,27326,30024
Sutter County,75-79,2355,2513,2877,3565,4027,4534,4921,5006,5089,5460,5920
Tehama County,75-79,1898,2119,2476,2911,2940,3238,3182,2730,2626,2557,2630
Trinity County,75-79,509,598,837,1033,1023,915,766,508,483,462,468
Tulare County,75-79,7686,8661,10722,14415,16158,18586,19715,19881,20733,22933,25737
Tuolumne County,75-79,2074,2453,2941,3758,4001,4015,3487,3034,2906,3110,3348
Ventura County,75-79,17396,19721,25539,35363,42094,50050,51330,48035,45671,45379,48873
Yolo County,75-79,3523,4253,5588,7691,9152,9823,10185,10208,10367,11727,11655
Yuba County,75-79,1354,1569,1792,2529,2928,3371,3517,3554,3577,4140,4457
