NAME,55-59,2010 pop. Estimate for people ages 55-59,2015 pop. Estimate for people ages 55-59,2020 pop. Projection for people ages 55-59,2025 pop. Projection for people ages 55-59, 2030 pop. Projection for people ages 55-59, 2035 pop. Projection for people ages 55-59, 2040 pop. Projection for people ages 55-59, 2050 pop. Projection for people ages 55-59, 2055 pop. Projection for people ages 55-59, 2060 pop. Projection for people ages 55-59
Alameda County,55-59,95379,106018,109081,108136,111500,112351,122954,119329,126991,133312,138062
Alpine County,55-59,129,106,99,80,65,55,60,54,65,78,87
Amador County,55-59,3403,2938,2767,2206,1992,1972,1973,1977,2637,2592,2528
Butte County,55-59,15353,13778,11457,10380,10523,11524,12564,12632,15279,16267,16825
Calaveras County,55-59,4220,3993,3300,2651,2146,2043,2105,2202,3146,3035,2717
Colusa County,55-59,1307,1355,1294,1287,1228,1187,1275,1214,1692,1657,1707
Contra Costa County,55-59,70258,80700,84660,81218,77886,81203,90059,90397,96561,98916,99355
Del Norte County,55-59,1976,2043,1786,1291,1146,1222,1243,1128,1588,1704,1605
El Dorado County,55-59,15229,16213,14539,11176,9628,9275,9916,10823,14572,15594,15992
Fresno County,55-59,49282,53902,55200,53115,54550,59314,65676,62254,72558,75644,76999
Glenn County,55-59,1813,1853,1774,1571,1521,1522,1595,1706,2173,2095,2073
Humboldt County,55-59,10456,9746,8221,6619,7530,8371,8693,6969,6961,7291,7488
Imperial County,55-59,9380,10620,10469,10114,9656,9765,10165,11086,13730,13969,14015
Inyo County,55-59,1568,1577,1367,1149,1066,1125,1169,976,1185,1095,973
Kern County,55-59,43623,50378,49953,46870,48460,52783,58758,58937,76424,80280,85172
Kings County,55-59,7303,7541,6664,5768,5263,6132,8182,8257,8683,9499,10553
Lake County,55-59,5457,5277,4305,3608,3150,3150,3515,3643,4440,4233,4196
Lassen County,55-59,2252,2226,2035,1574,1241,1013,945,859,1215,1356,1173
Los Angeles County,55-59,566127,647590,675113,683800,679031,678043,706808,630244,680613,666846,642411
Madera County,55-59,8437,8716,8057,8544,9396,10191,11286,12428,14699,15666,16609
Marin County,55-59,20580,20469,19663,19655,18423,15808,14703,14048,15495,16644,18902
Mariposa County,55-59,1688,1692,1365,1004,898,876,887,853,1156,1164,1047
Mendocino County,55-59,7236,6425,5402,4979,4999,5032,5505,5086,5540,5563,5671
Merced County,55-59,12474,14161,15086,14833,15629,16661,18666,18264,22768,24176,25501
Modoc County,55-59,803,718,623,527,477,442,446,377,601,588,550
Mono County,55-59,1070,1232,1108,909,926,920,1161,961,626,703,871
Monterey County,55-59,23635,25452,24637,24544,25972,27990,29793,26555,28935,29602,30902
Napa County,55-59,9378,10253,9764,9416,8578,8823,9683,9789,11162,11487,11364
Nevada County,55-59,9139,8291,6846,5640,5120,5431,5629,5704,7724,7984,7611
Orange County,55-59,176337,210160,221767,225424,214690,201073,217287,189587,212029,215484,214014
Placer County,55-59,23177,26366,26876,25165,24199,25533,31301,32626,37201,39891,40326
Plumas County,55-59,1990,1728,1322,946,791,820,845,916,1233,1077,1070
Riverside County,55-59,116286,140211,154236,155762,155911,156529,169695,181744,211588,216606,216062
Sacramento County,55-59,85731,96294,98290,96230,99245,108341,118689,108613,128068,134812,139244
San Benito County,55-59,3405,3906,4086,3939,3408,3454,3560,3901,5009,5373,5332
San Bernardino County,55-59,111637,130379,133266,127663,127220,130911,142261,144498,165812,172094,178514
San Diego County,55-59,181646,206233,208835,198911,198583,205792,223633,199457,189140,192027,199679
San Francisco County,55-59,51778,52427,54823,59062,63787,70906,91865,71108,56731,59039,62469
San Joaquin County,55-59,38030,44595,49635,49562,50933,52341,55892,57789,66260,69922,71448
San Luis Obispo County,55-59,20161,20207,17850,15147,13610,14418,15709,15809,14994,16263,16673
San Mateo County,55-59,48187,53234,55237,56880,57645,57209,59046,56833,56051,55668,59210
Santa Barbara County,55-59,24650,27492,27106,24623,25075,26752,29566,28233,29302,29573,29011
Santa Clara County,55-59,103363,123585,133395,134465,138688,140622,150137,131708,140469,152640,166985
Santa Cruz County,55-59,19834,19697,17961,16578,15272,15574,15973,14040,16108,17136,17350
Shasta County,55-59,13355,13155,12005,9818,9145,9962,11172,11601,13284,13036,12918
Sierra County,55-59,349,303,247,174,150,107,130,130,187,179,171
Siskiyou County,55-59,4052,3638,2817,2192,1934,1922,2205,2200,2765,2854,2623
Solano County,55-59,27897,30553,30408,27120,25882,26223,28407,27449,32332,34896,36264
Sonoma County,55-59,36542,38169,35972,33295,30999,34211,38685,36305,37977,39867,40298
Stanislaus County,55-59,28882,32460,33520,31804,31201,32820,35940,33929,42995,45670,45938
Sutter County,55-59,5485,5975,6404,6289,6225,6650,7083,7093,8453,8761,9134
Tehama County,55-59,4217,4379,4237,3468,3318,3191,3216,3661,4884,4478,4474
Trinity County,55-59,1378,1193,972,646,599,548,539,526,800,789,742
Tulare County,55-59,21736,24350,25234,25113,25664,28039,31077,31073,34407,36036,39235
Tuolumne County,55-59,4852,4400,3507,2832,2585,2721,2905,2900,3562,3430,3134
Ventura County,55-59,51544,60124,60048,54761,51378,50304,53564,53102,59659,58494,59005
Yolo County,55-59,11224,11640,11622,11455,11472,12834,12722,12373,14573,17244,18173
Yuba County,55-59,4164,4585,4635,4545,4542,5131,5445,5682,6321,6397,6572
