NAME,35-39,2010 pop. Estimate for people ages 35-39,2015 pop. Estimate for people ages 35-39,2020 pop. Projection for people ages 35-39,2025 pop. Projection for people ages 35-39, 2030 pop. Projection for people ages 35-39, 2035 pop. Projection for people ages 35-39, 2040 pop. Projection for people ages 35-39, 2050 pop. Projection for people ages 35-39, 2055 pop. Projection for people ages 35-39, 2060 pop. Projection for people ages 35-39
Alameda County,35-39,114876,115518,125837,121533,129024,134937,139506,143150,143011,143896,143223
Alpine County,35-39,54,47,49,46,54,68,78,72,33,35,46
Amador County,35-39,2003,1837,1788,1841,2510,2478,2393,2238,2268,2467,2602
Butte County,35-39,11389,12008,12942,12851,15752,16806,17425,17905,17934,18186,18137
Calaveras County,35-39,1989,1761,1808,1854,2818,2715,2310,2214,2085,2339,2594
Colusa County,35-39,1339,1323,1403,1332,1827,1773,1812,1927,1717,1817,1874
Contra Costa County,35-39,70246,72972,81788,82016,88158,90321,90932,90023,85473,88731,89866
Del Norte County,35-39,1886,1751,1719,1582,2057,2182,2067,2264,2217,2224,2255
El Dorado County,35-39,9867,8943,9314,10098,13745,14780,15104,14370,13757,14417,15671
Fresno County,35-39,57566,61450,67992,64076,74774,77708,79086,84330,87117,84618,87169
Glenn County,35-39,1648,1684,1737,1866,2333,2305,2242,2382,2235,2191,2320
Humboldt County,35-39,7991,8735,9096,7245,7248,7621,7842,8561,8493,8401,7837
Imperial County,35-39,11340,11145,11583,12456,15194,15385,15337,15873,19354,18575,18871
Inyo County,35-39,957,966,1025,821,1029,935,795,927,1074,873,869
Kern County,35-39,54572,56400,61299,61324,79687,83676,88678,94953,94067,94738,100176
Kings County,35-39,10831,9665,11484,11482,11951,12799,13852,16292,16182,15399,15491
Lake County,35-39,3243,3135,3493,3640,4465,4284,4293,4546,4773,4777,4952
Lassen County,35-39,2804,2022,1913,1805,2218,2364,2161,2288,2286,2244,2222
Los Angeles County,35-39,712301,706096,729364,645271,692243,673443,643781,662483,671611,635085,606702
Madera County,35-39,9512,9570,10263,11266,13444,14351,15222,15902,15835,15693,16353
Marin County,35-39,16349,14138,13022,12355,13753,14973,17165,16291,14242,13518,13166
Mariposa County,35-39,838,772,768,739,1038,1038,904,888,951,976,1001
Mendocino County,35-39,5067,5058,5574,5110,5605,5642,5730,5866,5807,5600,5629
Merced County,35-39,16286,17001,18851,18281,22979,24437,25598,26773,26556,26654,28334
Modoc County,35-39,502,456,456,380,607,607,575,556,400,458,492
Mono County,35-39,938,912,1177,935,576,657,829,880,755,721,694
Monterey County,35-39,27740,29990,31860,28401,30783,31439,32732,34690,34520,33258,32618
Napa County,35-39,8364,8443,9257,9308,10628,10912,10790,10590,9890,9887,10126
Nevada County,35-39,4769,4792,4893,4779,6875,7020,6595,6405,6363,6694,7108
Orange County,35-39,211818,197169,212294,182149,204449,207370,205235,208741,209893,204795,195082
Placer County,35-39,21789,22475,28049,29023,33760,36170,36539,35293,33861,35069,36830
Plumas County,35-39,848,838,852,921,1258,1102,1095,1040,969,1061,1098
Riverside County,35-39,143557,140695,152672,164781,195095,199231,197754,203762,200616,206585,209045
Sacramento County,35-39,94800,100235,109822,98328,117926,124524,128278,133895,134216,134651,135538
San Benito County,35-39,3523,3490,3519,3820,4918,5255,5213,5215,5029,5286,5588
San Bernardino County,35-39,135473,137103,147707,149111,170874,176691,182828,197029,202351,206011,209869
San Diego County,35-39,209864,216774,234063,208165,196824,199475,206577,235959,253137,247856,235481
San Francisco County,35-39,70226,77880,99263,77152,61863,63802,66951,73826,83525,85257,86295
San Joaquin County,35-39,44810,45084,48714,50722,59743,63380,64981,67504,66724,68527,70106
San Luis Obispo County,35-39,13965,14659,15944,16042,15164,16500,16891,16587,16327,16351,15801
San Mateo County,35-39,53418,53384,54831,52330,51147,50476,53775,56440,53924,55554,53472
Santa Barbara County,35-39,24970,27022,30082,28703,29788,30068,29704,31276,32224,30598,29633
Santa Clara County,35-39,140767,142459,151240,131862,140280,152172,166371,175869,176015,171862,170890
Santa Cruz County,35-39,15767,15866,16204,14115,16214,17255,17453,19662,21046,19431,19235
Shasta County,35-39,9059,9712,10918,11391,13180,12892,12813,12864,13144,13465,13358
Sierra County,35-39,150,110,128,123,187,181,165,183,149,190,184
Siskiyou County,35-39,2104,1986,2281,2253,2848,2969,2711,2743,2673,2655,2794
Solano County,35-39,26141,26142,28281,27282,32266,35000,36357,37767,38129,38730,39353
Sonoma County,35-39,28612,31292,35488,32611,34267,36010,36292,35798,33747,34260,33544
Stanislaus County,35-39,32914,33920,37114,34966,44463,47269,47595,49442,49134,50229,50967
Sutter County,35-39,5816,6106,6423,6395,7709,7934,8229,8245,7788,8375,8683
Tehama County,35-39,3555,3424,3433,3942,5244,4755,4787,4787,4897,5009,5271
Trinity County,35-39,663,631,591,569,865,826,796,792,758,865,943
Tulare County,35-39,27686,30102,33236,33221,36661,38398,41583,44365,43695,42266,43329
Tuolumne County,35-39,2746,2720,2874,2853,3518,3325,3026,3066,3066,3037,3193
Ventura County,35-39,53259,51902,54533,53700,60209,58822,59216,60115,58767,56498,56475
Yolo County,35-39,11877,12853,12690,12195,14503,17162,18137,20654,21308,21370,21982
Yuba County,35-39,4408,4977,5292,5520,6215,6237,6422,6688,6607,6354,6392
