NAME,85-89,2010 pop. Estimate for people ages 85-89,2015 pop. Estimate for people ages 85-89,2020 pop. Projection for people ages 85-89,2025 pop. Projection for people ages 85-89, 2030 pop. Projection for people ages 85-89, 2035 pop. Projection for people ages 85-89, 2040 pop. Projection for people ages 85-89, 2050 pop. Projection for people ages 85-89, 2055 pop. Projection for people ages 85-89, 2060 pop. Projection for people ages 85-89
Alameda County,85-89,16152,17578,19123,23446,31530,46777,56857,66764,72594,75764,81091
Alpine County,85-89,0,14,22,19,33,50,65,64,55,48,52
Amador County,85-89,665,831,810,1054,1451,1892,1991,2097,2136,1904,1874
Butte County,85-89,3651,3560,3577,4086,5101,7016,7912,7600,6839,6661,6993
Calaveras County,85-89,680,779,1035,1431,1855,2554,2697,3025,2826,2639,2394
Colusa County,85-89,233,254,262,291,409,544,688,677,677,692,722
Contra Costa County,85-89,12684,13864,15059,18118,25299,37108,44788,53628,58547,59123,58982
Del Norte County,85-89,314,362,403,434,531,745,817,884,840,591,595
El Dorado County,85-89,2085,2430,2889,3827,5406,7720,9176,10539,9910,8407,7626
Fresno County,85-89,9123,9757,10266,11901,15562,20802,25463,29128,31364,31694,33669
Glenn County,85-89,330,342,367,467,523,667,869,898,959,856,867
Humboldt County,85-89,1643,1730,1666,2049,2691,4121,4613,4863,4230,3735,4227
Imperial County,85-89,1478,1988,2180,2522,3038,4158,5275,6163,6395,6526,6488
Inyo County,85-89,358,392,394,441,526,686,832,976,920,843,803
Kern County,85-89,5857,6688,7177,8917,11242,14589,18174,21953,22816,22613,24255
Kings County,85-89,922,1070,1315,1554,1725,2491,2934,3422,3110,2922,2733
Lake County,85-89,942,996,1121,1339,1725,2270,2398,2440,2162,1959,1784
Lassen County,85-89,299,309,332,430,593,838,992,972,927,797,579
Los Angeles County,85-89,100077,115205,126174,149915,192897,269261,337295,406070,446247,475247,489715
Madera County,85-89,1342,1642,1858,2234,2829,3711,4208,4823,4821,5361,6029
Marin County,85-89,4153,4492,4865,6126,9239,12648,13432,13778,13769,14264,13912
Mariposa County,85-89,273,344,448,542,752,926,1010,1165,1040,916,856
Mendocino County,85-89,1238,1215,1295,1567,2357,3611,3699,3483,3134,2980,3183
Merced County,85-89,1996,2291,2574,2911,3904,5081,6134,7255,8355,8517,9498
Modoc County,85-89,154,156,194,224,316,405,400,367,329,346,317
Mono County,85-89,53,25,44,133,260,465,643,824,778,666,724
Monterey County,85-89,4376,5090,5191,5829,7782,11503,13930,15676,15851,16471,18128
Napa County,85-89,2167,2083,2238,2746,3646,4884,5461,6342,6410,6607,6170
Nevada County,85-89,1757,2006,2104,2668,3790,5437,5836,5693,5100,4730,4526
Orange County,85-89,33231,38547,43234,50490,66283,88110,104406,128491,141344,150892,148433
Placer County,85-89,4890,5909,7129,8808,11722,14974,16954,19543,20763,20612,20636
Plumas County,85-89,269,365,413,563,736,967,1016,961,750,574,512
Riverside County,85-89,22620,26889,31141,38031,50362,67185,83530,104128,118010,123876,129274
Sacramento County,85-89,15351,16404,17565,20052,25423,37617,45209,53080,57147,59227,62813
San Benito County,85-89,461,588,604,751,1076,1549,2020,2437,2719,2799,2526
San Bernardino County,85-89,14264,16794,19197,23060,30571,42260,53827,65840,71270,72228,74814
San Diego County,85-89,36121,39333,41312,49151,63742,91695,111239,131525,139654,140427,145994
San Francisco County,85-89,11282,13358,14164,15721,18826,27565,31078,32446,35289,39606,44123
San Joaquin County,85-89,6696,6981,7196,8746,11531,15990,19709,23830,27645,29096,30844
San Luis Obispo County,85-89,4159,4628,4809,5777,7979,11768,14358,15184,14528,13398,12831
San Mateo County,85-89,9958,10941,11434,13823,17187,24299,28258,31927,34502,36795,38366
Santa Barbara County,85-89,5840,6302,6522,7013,9001,12075,14528,17052,17648,16604,17501
Santa Clara County,85-89,18362,21566,25189,30366,39524,52600,63785,77736,86803,90602,95478
Santa Cruz County,85-89,3020,3025,3071,3878,5694,9403,11663,12228,11820,11479,10937
Shasta County,85-89,2627,2810,2898,3370,4463,5421,5971,6303,6114,5416,5223
Sierra County,85-89,40,46,84,89,104,175,170,147,139,99,92
Siskiyou County,85-89,782,827,881,1047,1437,1796,1926,1803,1521,1260,1168
Solano County,85-89,4107,4558,5679,7248,9631,14159,16580,19393,20530,19476,19655
Sonoma County,85-89,7299,7256,7648,9481,14361,21063,24916,27504,27649,27472,27116
Stanislaus County,85-89,5022,5544,5865,6881,8614,11698,13892,16461,17816,17656,17943
Sutter County,85-89,982,1156,1339,1502,1793,2264,2508,3037,3401,3563,3694
Tehama County,85-89,818,855,1015,1146,1421,1759,1817,2034,2074,1853,1768
Trinity County,85-89,172,244,308,368,527,678,663,624,535,353,347
Tulare County,85-89,3589,4045,4396,5063,6462,8899,10358,12134,13262,13594,14535
Tuolumne County,85-89,965,1144,1246,1485,1844,2478,2805,2878,2611,2334,2298
Ventura County,85-89,9255,10088,11217,13022,17619,24870,30686,37395,39393,37921,36675
Yolo County,85-89,2024,1934,2275,2813,3797,5278,6469,6952,7476,7679,7862
Yuba County,85-89,523,586,720,810,960,1406,1705,2047,2227,2205,2299
