NAME,15-19,2010 pop. Estimate for people ages 15-19,2015 pop. Estimate for people ages 15-19,2020 pop. Projection for people ages 15-19,2025 pop. Projection for people ages 15-19, 2030 pop. Projection for people ages 15-19, 2035 pop. Projection for people ages 15-19, 2040 pop. Projection for people ages 15-19, 2050 pop. Projection for people ages 15-19, 2055 pop. Projection for people ages 15-19, 2060 pop. Projection for people ages 15-19
Alameda County,15-19,99645,105368,108673,111589,110744,111057,109678,108171,109261,111017,113091
Alpine County,15-19,57,75,83,74,32,36,46,57,63,52,44
Amador County,15-19,2310,2163,1978,1819,1821,2030,2178,2238,2194,2142,2139
Butte County,15-19,17980,17824,17964,18352,18289,18445,18372,18952,19048,19022,18925
Calaveras County,15-19,2934,2855,2330,2196,2037,2279,2516,2569,2518,2363,2356
Colusa County,15-19,1779,1777,1823,1932,1688,1780,1829,1897,1875,1833,1786
Contra Costa County,15-19,71153,72822,73481,72211,67835,71322,72963,74002,75246,75705,75887
Del Norte County,15-19,1836,1743,1608,1777,1696,1676,1688,1713,1724,1710,1669
El Dorado County,15-19,12520,12949,12957,12089,11282,11876,13122,14199,14952,14783,14431
Fresno County,15-19,81593,81871,82727,87771,90340,87645,90024,92984,95637,99117,101039
Glenn County,15-19,2171,2230,2160,2275,2115,2062,2205,2256,2247,2197,2087
Humboldt County,15-19,9517,9624,9894,10659,10564,10430,9865,9452,9516,9727,9806
Imperial County,15-19,15020,14638,14401,14869,18348,17439,17645,18193,18625,18883,19432
Inyo County,15-19,1111,1140,984,1127,1269,1069,1059,1057,1052,1060,1062
Kern County,15-19,72457,71500,72958,78522,77165,77960,83363,88498,92499,95272,96496
Kings County,15-19,11268,11991,12850,15354,15221,14429,14515,14854,15698,16183,15985
Lake County,15-19,4180,3818,3725,3915,4148,4127,4302,4441,4524,4645,4700
Lassen County,15-19,2079,1751,1484,1633,1620,1566,1530,1456,1407,1448,1437
Los Angeles County,15-19,756314,731241,694461,707539,710757,667765,632900,608841,591849,585479,582710
Madera County,15-19,12099,11937,12177,12576,12388,12057,12632,13536,14018,14346,14497
Marin County,15-19,12167,14111,16410,15579,13371,12672,12368,13028,14031,14633,14290
Mariposa County,15-19,1026,1006,833,794,839,866,884,969,954,916,947
Mendocino County,15-19,5476,5339,5439,5617,5539,5345,5465,5484,5531,5507,5438
Merced County,15-19,24474,24520,25327,26304,25791,25762,27310,28802,30355,30880,31419
Modoc County,15-19,628,614,582,565,407,470,500,517,503,480,445
Mono County,15-19,782,727,862,897,760,723,687,634,664,664,666
Monterey County,15-19,32231,32530,34225,36213,35988,34712,34013,33426,33720,34320,34147
Napa County,15-19,9344,9658,9360,9025,8346,8229,8479,8536,8464,8478,8390
Nevada County,15-19,6125,5835,5149,4828,4662,4891,5233,5647,5975,5873,5799
Orange County,15-19,225190,231533,226219,227556,227723,221621,211211,207101,203902,202930,202124
Placer County,15-19,23536,24414,24127,22112,20267,21207,22854,24724,25330,25190,24697
Plumas County,15-19,1292,1106,1064,1003,928,1025,1054,1069,1028,1004,979
Riverside County,15-19,185706,186252,183719,189320,185811,190918,193223,193575,191977,191361,189088
Sacramento County,15-19,106659,108963,111369,116114,115581,115135,115393,118890,122205,126135,129626
San Benito County,15-19,4558,4689,4338,4153,3762,3965,4135,4210,4236,4249,4172
San Bernardino County,15-19,179613,173230,172281,182833,185639,186983,188476,192231,197387,203477,209486
San Diego County,15-19,222900,232025,235694,263581,279737,273615,260500,250903,250382,260197,271097
San Francisco County,15-19,34289,34363,36060,41205,49351,49796,49003,44540,43070,44654,48048
San Joaquin County,15-19,58163,59326,60946,63493,62641,64458,65997,67738,68250,68872,69203
San Luis Obispo County,15-19,21447,21491,22030,21687,21492,21593,21068,20883,20562,20778,20467
San Mateo County,15-19,40128,40424,43034,45399,42409,43616,40957,38997,38463,40344,41336
Santa Barbara County,15-19,38166,38870,38583,40208,41276,39729,38858,38894,38748,38812,38661
Santa Clara County,15-19,111965,120672,131198,138429,136505,130608,127926,131913,139983,149071,154163
Santa Cruz County,15-19,21859,24161,24180,26232,27344,25588,25206,25459,25392,26117,26572
Shasta County,15-19,12376,11629,11235,11306,11500,11784,11769,11756,11829,11839,11999
Sierra County,15-19,178,154,131,153,118,153,156,160,169,166,169
Siskiyou County,15-19,2741,2796,2511,2549,2473,2460,2570,2666,2694,2641,2615
Solano County,15-19,30195,30980,31997,33170,33442,33882,34477,36017,36152,36774,37229
Sonoma County,15-19,32849,33006,32295,31242,28873,29131,28229,27851,27669,27493,27097
Stanislaus County,15-19,43208,43998,44229,46219,46095,47323,48315,49783,50138,50313,49830
Sutter County,15-19,7320,7206,7348,7262,6666,7214,7418,7465,7633,7481,7686
Tehama County,15-19,4694,4391,4328,4355,4421,4522,4840,5023,5092,5021,5059
Trinity County,15-19,792,753,689,675,657,714,821,871,883,877,901
Tulare County,15-19,38377,37587,40026,42369,41320,39611,40486,42597,43686,44441,43650
Tuolumne County,15-19,3220,2986,2546,2523,2458,2399,2530,2566,2557,2509,2469
Ventura County,15-19,63991,61672,59977,60023,58207,55738,55576,55607,55737,55124,54318
Yolo County,15-19,19408,20204,21804,24271,24870,24872,25440,26209,27421,29035,29894
Yuba County,15-19,5489,5699,5779,6039,5919,5667,5699,5722,5720,5706,5626
