NAME,25-29,2010 pop. Estimate for people ages 25-29,2015 pop. Estimate for people ages 25-29,2020 pop. Projection for people ages 25-29,2025 pop. Projection for people ages 25-29, 2030 pop. Projection for people ages 25-29, 2035 pop. Projection for people ages 25-29, 2040 pop. Projection for people ages 25-29, 2050 pop. Projection for people ages 25-29, 2055 pop. Projection for people ages 25-29, 2060 pop. Projection for people ages 25-29
Alameda County,25-29,114425,113478,120379,125980,129979,133528,133131,133887,132970,131208,132657
Alpine County,25-29,50,48,57,70,81,74,33,37,47,58,64
Amador County,25-29,1765,1699,2380,2325,2255,2101,2112,2327,2461,2513,2482
Butte County,25-29,14385,14005,16778,17743,18332,18799,18826,19069,18993,19558,19681
Calaveras County,25-29,1842,1880,2827,2729,2297,2202,2068,2308,2568,2634,2613
Colusa County,25-29,1448,1273,1778,1702,1746,1868,1635,1716,1782,1861,1849
Contra Costa County,25-29,65179,65211,71151,73200,74154,72936,68658,72102,73469,74292,75198
Del Norte County,25-29,2043,1597,1988,2101,1980,2166,2104,2107,2128,2155,2187
El Dorado County,25-29,8584,8883,12315,13213,13431,12682,11937,12598,13867,14962,15727
Fresno County,25-29,70338,65435,76028,78877,80177,85327,87987,85390,87855,90927,93738
Glenn County,25-29,1794,1778,2236,2196,2130,2272,2113,2058,2192,2268,2241
Humboldt County,25-29,10486,8082,8209,8568,8783,9543,9446,9334,8793,8353,8415
Imperial County,25-29,12445,12888,15568,15726,15679,16199,19694,18866,19136,19728,20194
Inyo County,25-29,1042,845,1052,958,815,953,1095,894,903,891,888
Kern County,25-29,64047,61864,76766,79837,84574,90906,89873,90548,96025,101085,105093
Kings County,25-29,13553,12349,12575,13450,14475,17003,16842,16065,16159,16503,17337
Lake County,25-29,3435,3522,4198,3945,3924,4145,4374,4378,4565,4704,4783
Lassen County,25-29,3430,2392,2786,2935,2710,2851,2846,2801,2769,2688,2658
Los Angeles County,25-29,757142,671096,715915,695274,663665,680633,688110,649720,619333,599797,587378
Madera County,25-29,10477,10923,12870,13662,14506,15081,15048,14816,15476,16465,17000
Marin County,25-29,11873,11197,12606,13862,16035,15166,13054,12355,11992,12730,13734
Mariposa County,25-29,848,807,1104,1091,950,931,992,1020,1042,1137,1117
Mendocino County,25-29,5507,4886,5390,5416,5512,5657,5604,5402,5499,5549,5547
Merced County,25-29,18298,17297,21902,23217,24369,25479,25175,25242,26892,28572,30182
Modoc County,25-29,452,382,602,599,566,547,393,452,485,503,490
Mono County,25-29,1283,1036,651,721,894,943,817,786,752,699,732
Monterey County,25-29,31767,28188,30672,31366,32636,34632,34430,33162,32484,31914,32207
Napa County,25-29,8564,8766,9925,10210,10035,9749,9056,9018,9290,9362,9311
Nevada County,25-29,4782,4474,6497,6587,6084,5895,5805,6116,6498,6965,7341
Orange County,25-29,215174,186634,208164,210670,208061,211154,212267,206932,197128,193244,190178
Placer County,25-29,20230,19725,23549,25360,25494,23892,22295,23355,25121,27120,27652
Plumas County,25-29,856,900,1216,1070,1052,1001,918,1017,1047,1059,1017
Riverside County,25-29,144294,151476,180774,184952,183226,188803,185456,190952,193240,193892,192487
Sacramento County,25-29,107460,92207,111123,117001,120325,125506,125561,125567,126205,130083,133784
San Benito County,25-29,3401,3517,4547,4834,4761,4764,4500,4793,5069,5162,5268
San Bernardino County,25-29,146755,144885,165012,170072,175650,189281,194033,197108,200374,205894,212567
San Diego County,25-29,249101,223120,211369,213811,220726,250093,267199,261779,249268,240230,240058
San Francisco County,25-29,90607,71681,55794,57034,59715,66019,75036,76270,76558,73350,72739
San Joaquin County,25-29,46153,47492,56568,60323,61886,64429,63557,65402,66973,68697,69203
San Luis Obispo County,25-29,16937,16833,15936,17270,17738,17410,17180,17195,16629,16367,15987
San Mateo County,25-29,48741,47402,45886,45116,48178,50723,48045,49561,47209,45658,45497
Santa Barbara County,25-29,31126,29710,30849,31114,30772,32389,33392,31789,30888,30895,30658
Santa Clara County,25-29,134835,115872,122358,133613,147210,155876,155356,150545,149072,154068,163151
Santa Cruz County,25-29,17195,14881,16856,17847,18008,20188,21507,19882,19619,19897,19920
Shasta County,25-29,10558,10601,11946,11563,11452,11585,11803,12104,12072,12053,12110
Sierra County,25-29,127,116,178,173,152,174,138,177,176,184,191
Siskiyou County,25-29,2278,2187,2753,2876,2615,2636,2567,2547,2674,2756,2790
Solano County,25-29,28452,27037,31994,34771,36153,37496,37848,38443,39047,40582,40768
Sonoma County,25-29,31851,28163,29051,30354,30540,29846,27719,28135,27298,26935,26862
Stanislaus County,25-29,36428,33304,42987,45832,46163,48091,47866,48986,49795,51186,51242
Sutter County,25-29,6519,6332,7579,7755,8028,8033,7505,8097,8365,8488,8738
Tehama County,25-29,3629,3628,4883,4361,4373,4393,4493,4597,4884,5078,5126
Trinity County,25-29,631,546,837,775,732,722,709,795,892,969,966
Tulare County,25-29,32278,31545,34853,36491,39552,42328,41593,40043,41153,43413,44491
Tuolumne County,25-29,3164,3057,3644,3391,3066,3094,3070,3038,3179,3229,3250
Ventura County,25-29,54225,52729,58786,57141,57391,58298,56853,54605,54527,54594,54714
Yolo County,25-29,14815,13729,16092,18701,19579,22084,22704,22736,23308,24122,25357
Yuba County,25-29,5363,5074,5714,5771,5919,6185,6083,5839,5863,5907,5898
