NAME,40-44,2010 pop. Estimate for people ages 40-44,2015 pop. Estimate for people ages 40-44,2020 pop. Projection for people ages 40-44,2025 pop. Projection for people ages 40-44, 2030 pop. Projection for people ages 40-44, 2035 pop. Projection for people ages 40-44, 2040 pop. Projection for people ages 40-44, 2050 pop. Projection for people ages 40-44, 2055 pop. Projection for people ages 40-44, 2060 pop. Projection for people ages 40-44
Alameda County,40-44,112691,115594,115731,126134,122012,129525,135526,140181,143914,143809,144713
Alpine County,40-44,80,54,48,51,50,57,71,81,73,36,37
Amador County,40-44,2454,1988,1972,1913,1968,2628,2596,2520,2363,2389,2591
Butte County,40-44,11972,11623,12417,13442,13363,16249,17291,17910,18443,18437,18699
Calaveras County,40-44,2571,1950,1741,1800,1852,2819,2710,2314,2218,2101,2362
Colusa County,40-44,1353,1321,1284,1363,1296,1787,1738,1773,1889,1686,1788
Contra Costa County,40-44,78373,74295,77206,86134,86425,92610,94821,95293,94457,89808,93022
Del Norte County,40-44,1853,1528,1558,1592,1460,1941,2073,1956,2144,2111,2116
El Dorado County,40-44,12037,9833,9248,9766,10630,14327,15383,15758,15016,14435,15135
Fresno County,40-44,56801,56744,61221,67808,63979,74698,77727,79126,84421,87234,84802
Glenn County,40-44,1715,1638,1635,1696,1814,2297,2262,2200,2334,2189,2158
Humboldt County,40-44,7130,7792,8666,9016,7173,7159,7552,7774,8481,8411,8331
Imperial County,40-44,11533,10764,10772,11230,12113,14830,15044,15003,15544,19026,18244
Inyo County,40-44,997,941,951,1006,807,1006,919,785,915,1058,856
Kern County,40-44,53841,52875,55547,61366,61584,79890,83884,88919,95141,94326,95019
Kings County,40-44,10531,8189,8692,10844,10880,11331,12189,13272,15690,15598,14827
Lake County,40-44,3822,3241,3163,3539,3707,4515,4337,4338,4611,4822,4836
Lassen County,40-44,2733,2049,1796,1707,1609,2011,2151,1956,2086,2077,2045
Los Angeles County,40-44,717346,707445,700283,725803,643286,691510,674083,645653,665572,675877,640621
Madera County,40-44,9513,9216,9605,10596,11664,13901,14807,15716,16451,16373,16301
Marin County,40-44,20155,18988,16254,15096,14445,15896,17077,19308,18368,16314,15583
Mariposa County,40-44,977,817,752,759,728,1033,1031,897,886,948,975
Mendocino County,40-44,5213,5110,5165,5664,5223,5696,5739,5827,5959,5906,5708
Merced County,40-44,15742,16131,17047,19019,18467,23169,24608,25822,26982,26821,26954
Modoc County,40-44,559,491,442,445,368,594,596,564,544,387,446
Mono County,40-44,944,913,891,1169,932,580,660,831,888,763,722
Monterey County,40-44,26979,28037,30259,32061,28611,31021,31668,32972,34942,34777,33517
Napa County,40-44,9327,8369,8371,9208,9285,10632,10912,10814,10615,9923,9903
Nevada County,40-44,5640,4790,4975,5141,5073,7171,7321,6962,6747,6742,7106
Orange County,40-44,227265,217376,201471,217432,187950,210472,213599,211722,215359,216587,211666
Placer County,40-44,24816,23453,24632,30436,31607,36343,38898,39275,38086,36695,37917
Plumas County,40-44,1022,838,840,871,940,1269,1110,1111,1056,980,1075
Riverside County,40-44,149653,146006,145705,158650,170701,200912,205358,203996,210072,207135,213264
Sacramento County,40-44,96016,95717,103871,114000,103052,122729,129526,133472,139334,139810,140372
San Benito County,40-44,4088,3510,3492,3556,3877,4985,5342,5299,5324,5143,5395
San Bernardino County,40-44,137562,134561,137050,148367,150092,171954,177959,184179,198637,204033,207894
San Diego County,40-44,210186,208469,214580,232150,206655,195500,198207,205396,234864,252081,246837
San Francisco County,40-44,63029,68127,74962,96265,74612,59482,61582,64854,71916,81666,83614
San Joaquin County,40-44,46045,45463,46437,49974,51992,61004,64647,66212,68774,67990,69830
San Luis Obispo County,40-44,15561,13771,14570,15843,15982,15127,16433,16816,16510,16238,16254
San Mateo County,40-44,55403,56993,55966,57691,55302,54166,53604,56944,59755,57275,59027
Santa Barbara County,40-44,25363,25581,27383,30409,29017,30106,30337,29960,31516,32421,30766
Santa Clara County,40-44,138349,142352,143229,152651,133472,142021,153892,168177,177665,177935,173819
Santa Cruz County,40-44,17192,15573,15722,16124,14037,16138,17208,17397,19596,20969,19365
Shasta County,40-44,10350,9120,9799,11102,11599,13349,13056,12996,13034,13314,13669
Sierra County,40-44,183,150,110,131,129,190,180,170,187,153,191
Siskiyou County,40-44,2414,2073,2028,2337,2317,2902,3020,2775,2799,2730,2718
Solano County,40-44,28056,26083,26343,28498,27495,32495,35207,36587,37977,38358,38978
Sonoma County,40-44,31756,28767,31520,35935,33152,34827,36626,36964,36444,34443,35012
Stanislaus County,40-44,33714,32419,33967,37174,35082,44483,47316,47659,49446,49142,50220
Sutter County,40-44,6098,5755,6051,6391,6364,7665,7899,8195,8194,7750,8340
Tehama County,40-44,3732,3471,3238,3255,3759,5049,4569,4616,4595,4715,4839
Trinity County,40-44,722,670,620,592,576,871,838,806,806,769,874
Tulare County,40-44,26961,27388,29888,33024,33028,36474,38231,41450,44209,43564,42112
Tuolumne County,40-44,3202,2716,2779,2960,2951,3623,3431,3136,3172,3180,3144
Ventura County,40-44,57473,53538,52013,55250,54705,61324,59974,60416,61342,60020,57764
Yolo County,40-44,12130,11668,12977,12853,12376,14693,17378,18365,20868,21524,21583
Yuba County,40-44,4480,4393,4931,5268,5498,6184,6228,6417,6664,6620,6353
