NAME,30-34,2010 pop. Estimate for people ages 30-34,2015 pop. Estimate for people ages 30-34,2020 pop. Projection for people ages 30-34,2025 pop. Projection for people ages 30-34, 2030 pop. Projection for people ages 30-34, 2035 pop. Projection for people ages 30-34, 2040 pop. Projection for people ages 30-34, 2050 pop. Projection for people ages 30-34, 2055 pop. Projection for people ages 30-34, 2060 pop. Projection for people ages 30-34
Alameda County,30-34,115292,126632,122203,129558,135396,139686,143437,143202,144010,143297,141538
Alpine County,30-34,47,47,42,53,66,77,70,29,33,43,53
Amador County,30-34,1865,1731,1787,2471,2428,2342,2190,2213,2423,2556,2607
Butte County,30-34,12114,12985,12813,15728,16760,17385,17861,17872,18108,18077,18629
Calaveras County,30-34,1770,1823,1855,2812,2717,2298,2213,2076,2321,2575,2646
Colusa County,30-34,1328,1435,1347,1857,1796,1833,1952,1738,1828,1886,1960
Contra Costa County,30-34,65957,74362,74500,80574,82616,83401,82443,78065,81424,82633,83273
Del Norte County,30-34,1996,1817,1609,2080,2199,2083,2276,2216,2224,2256,2289
El Dorado County,30-34,8603,8655,9295,12866,13856,14127,13403,12734,13392,14647,15758
Fresno County,30-34,62702,68335,64166,74822,77684,79021,84272,86931,84386,86914,90006
Glenn County,30-34,1693,1773,1904,2367,2335,2273,2412,2256,2222,2343,2420
Humboldt County,30-34,9345,9410,7590,7601,7968,8182,8921,8839,8732,8174,7748
Imperial County,30-34,11758,11947,12782,15535,15689,15641,16200,19677,18872,19154,19749
Inyo County,30-34,982,1030,826,1036,938,801,937,1080,875,879,877
Kern County,30-34,58632,63047,62285,80671,84562,89603,95907,94953,95604,101034,106031
Kings County,30-34,11979,12399,12037,12471,13322,14356,16847,16708,15941,16040,16399
Lake County,30-34,3221,3583,3651,4442,4227,4235,4482,4704,4696,4885,5043
Lassen County,30-34,3046,2205,2073,2488,2639,2426,2559,2554,2514,2487,2404
Los Angeles County,30-34,718519,741673,654723,700857,680906,650064,667612,675634,638000,608311,589434
Madera County,30-34,9975,10291,10944,13094,13944,14790,15394,15349,15138,15787,16828
Marin County,30-34,12878,11929,11292,12680,13925,16101,15251,13139,12433,12068,12808
Mariposa County,30-34,810,812,773,1074,1069,933,914,978,1002,1026,1121
Mendocino County,30-34,5187,5623,5153,5668,5692,5784,5925,5871,5657,5701,5779
Merced County,30-34,17053,18623,17918,22637,24028,25182,26344,26080,26174,27827,29510
Modoc County,30-34,453,449,376,600,599,567,548,395,452,484,502
Mono County,30-34,967,1216,964,601,677,852,902,776,745,712,658
Monterey County,30-34,30264,32014,28588,30954,31620,32876,34860,34700,33424,32760,32189
Napa County,30-34,8301,9191,9218,10471,10773,10626,10421,9715,9681,9938,10027
Nevada County,30-34,4786,4756,4619,6702,6827,6348,6179,6122,6433,6843,7316
Orange County,30-34,198587,214551,183913,206054,208921,206638,209998,211062,205915,196233,192402
Placer County,30-34,20061,24939,25627,30186,32375,32710,31308,29871,31008,32824,35000
Plumas County,30-34,857,843,905,1244,1088,1077,1027,950,1037,1073,1084
Riverside County,30-34,138815,148089,159599,190210,194164,192491,198429,195166,200947,203352,204169
Sacramento County,30-34,99271,106914,94744,114283,120576,124132,129548,129809,130050,130782,134831
San Benito County,30-34,3523,3383,3635,4717,5034,4964,4990,4770,5045,5330,5430
San Bernardino County,30-34,137219,146012,145821,167102,172615,178463,192479,197433,200821,204322,210044
San Diego County,30-34,221264,239435,212901,201327,203838,210841,240199,257329,251964,239514,230576
San Francisco County,30-34,80662,102501,79994,64725,66551,69640,76464,86125,87722,88645,85947
San Joaquin County,30-34,44828,46809,48859,57869,61559,63163,65692,64867,66659,68241,69953
San Luis Obispo County,30-34,14858,16025,16090,15225,16570,16968,16661,16418,16434,15872,15585
San Mateo County,30-34,51115,53337,50567,49339,48606,51857,54434,51876,53486,51293,49772
Santa Barbara County,30-34,26678,30059,28616,29753,30021,29664,31268,32251,30665,29731,29723
Santa Clara County,30-34,137309,147266,126732,134851,146570,160668,169947,169878,165499,164389,169685
Santa Cruz County,30-34,16181,16510,14345,16424,17458,17648,19847,21210,19592,19382,19646
Shasta County,30-34,9548,10737,10934,12661,12350,12253,12354,12613,12922,12845,12864
Sierra County,30-34,113,127,118,185,176,158,181,146,184,180,191
Siskiyou County,30-34,2006,2247,2202,2801,2920,2668,2692,2626,2601,2735,2815
Solano County,30-34,26442,28265,27252,32211,34969,36334,37730,38058,38669,39279,40826
Sonoma County,30-34,30005,34054,30643,32116,33693,33911,33376,31293,31793,31018,30608
Stanislaus County,30-34,34051,36149,33891,43507,46306,46618,48522,48269,49386,50136,51417
Sutter County,30-34,6184,6466,6419,7747,7968,8256,8266,7789,8385,8674,8831
Tehama County,30-34,3446,3527,4015,5334,4835,4861,4879,4971,5093,5362,5576
Trinity County,30-34,635,603,581,880,835,805,802,772,875,954,1057
Tulare County,30-34,29998,32666,32502,35897,37612,40762,43500,42875,41345,42418,44692
Tuolumne County,30-34,2913,2996,2948,3612,3408,3105,3145,3136,3110,3254,3313
Ventura County,30-34,51479,53949,52373,58678,57157,57461,58370,56959,54704,54653,54721
Yolo County,30-34,13198,12220,11745,14062,16727,17665,20158,20802,20848,21430,22279
Yuba County,30-34,5059,5259,5460,6136,6157,6337,6605,6518,6283,6306,6338
