NAME,60-64,2010 pop. Estimate for people ages 60-64,2015 pop. Estimate for people ages 60-64,2020 pop. Projection for people ages 60-64,2025 pop. Projection for people ages 60-64, 2030 pop. Projection for people ages 60-64, 2035 pop. Projection for people ages 60-64, 2040 pop. Projection for people ages 60-64, 2050 pop. Projection for people ages 60-64, 2055 pop. Projection for people ages 60-64, 2060 pop. Projection for people ages 60-64
Alameda County,60-64,79813,91798,101603,105301,105004,108772,109813,120413,117136,124831,131325
Alpine County,60-64,109,124,111,108,90,80,65,77,67,81,90
Amador County,60-64,3413,3219,3070,2986,2488,2292,2240,2272,2256,2920,2892
Butte County,60-64,13849,14990,13421,11411,10486,10694,11663,12631,12717,15268,16234
Calaveras County,60-64,4230,4051,4169,3609,3018,2569,2490,2579,2680,3628,3517
Colusa County,60-64,1099,1270,1306,1251,1252,1200,1170,1257,1189,1666,1622
Contra Costa County,60-64,60261,70250,80288,84557,81520,78449,81907,90726,91164,97310,99783
Del Norte County,60-64,1771,1800,1911,1678,1215,1081,1153,1180,1068,1514,1634
El Dorado County,60-64,13169,14559,15610,14016,10867,9407,9066,9693,10603,14334,15319
Fresno County,60-64,40396,46955,51607,53227,51509,53074,57702,63977,60755,70722,73839
Glenn County,60-64,1464,1715,1763,1686,1513,1478,1473,1557,1665,2116,2054
Humboldt County,60-64,9195,9913,9938,8411,6877,7774,8562,8921,7250,7279,7564
Imperial County,60-64,7458,8926,10054,9994,9661,9184,9341,9743,10689,13249,13473
Inyo County,60-64,1364,1483,1692,1483,1289,1199,1258,1307,1117,1322,1244
Kern County,60-64,34437,41043,47169,47172,44508,46163,50396,56108,56471,73325,77221
Kings County,60-64,5675,6277,6718,6029,5210,4722,5585,7575,7668,8072,8875
Lake County,60-64,5231,5155,4985,4163,3519,3061,3100,3438,3529,4326,4125
Lassen County,60-64,1846,2158,2025,1849,1431,1099,886,833,751,1094,1230
Los Angeles County,60-64,458137,544563,621355,651988,663619,661343,662073,691863,618231,669146,657105
Madera County,60-64,7427,7908,8271,7837,8282,9149,9952,11001,12184,14341,15323
Marin County,60-64,19450,19740,19352,18619,18642,17472,14907,13860,13236,14708,15805
Mariposa County,60-64,1614,1606,1723,1437,1113,1019,1016,1043,1010,1291,1327
Mendocino County,60-64,7233,6912,6202,5221,4852,4892,4940,5409,5007,5447,5457
Merced County,60-64,10396,11899,13399,14493,14309,15161,16177,18064,17767,22152,23557
Modoc County,60-64,835,765,666,586,503,465,431,437,370,581,579
Mono County,60-64,833,1030,1237,1145,952,987,977,1212,1014,689,767
Monterey County,60-64,19932,22806,24584,23828,23804,25302,27342,29076,26018,28378,29039
Napa County,60-64,8476,9022,9699,9366,9104,8328,8591,9448,9587,10953,11281
Nevada County,60-64,8884,8804,8027,6651,5546,5062,5384,5578,5671,7641,7919
Orange County,60-64,147638,169850,200561,213382,218246,208653,195728,211953,185146,207423,211074
Placer County,60-64,21507,23556,26811,27664,26168,25340,26741,32431,33844,38357,41156
Plumas County,60-64,1933,1900,1645,1279,916,772,814,829,899,1206,1054
Riverside County,60-64,100288,117656,144858,160311,162043,162884,163982,177201,189527,219034,224461
Sacramento County,60-64,71491,81926,92236,94959,93453,96726,105662,115761,106165,125209,132017
San Benito County,60-64,2619,3302,3819,4017,3927,3396,3453,3566,3902,5009,5375
San Bernardino County,60-64,87686,106128,123461,127401,122742,122844,126780,137943,140444,161346,167741
San Diego County,60-64,151728,176618,199640,203299,194621,195005,202303,220114,196951,186963,190063
San Francisco County,60-64,45578,49587,50142,52683,56949,61878,68969,89672,69401,55388,57748
San Joaquin County,60-64,31635,36737,42780,48058,48392,49942,51345,54783,56681,64897,68449
San Luis Obispo County,60-64,17311,20683,20698,18614,16013,14573,15294,16596,16750,15952,17181
San Mateo County,60-64,41937,47356,51576,53915,55720,56662,56357,58241,56134,55444,55180
Santa Barbara County,60-64,20772,23753,26628,26290,23996,24433,26106,28864,27661,28697,28961
Santa Clara County,60-64,84201,100031,119191,129704,131260,135842,138013,147568,129553,138424,150708
Santa Cruz County,60-64,16450,19479,19293,17917,16612,15349,15683,16115,14227,16284,17340
Shasta County,60-64,12291,12714,12317,11434,9413,8822,9624,10781,11178,12789,12558
Sierra County,60-64,341,332,288,240,171,144,102,128,128,185,172
Siskiyou County,60-64,3839,3865,3434,2683,2097,1872,1857,2135,2133,2672,2779
Solano County,60-64,23549,26502,29957,30256,27219,26189,26579,28804,27837,32738,35302
Sonoma County,60-64,32676,36792,38348,36735,34452,32442,35643,40176,37903,39619,41538
Stanislaus County,60-64,23821,27486,30890,32140,30661,30172,31836,34880,32880,41725,44336
Sutter County,60-64,4724,5247,5661,6101,6007,6034,6419,6844,6861,8159,8512
Tehama County,60-64,4104,3957,4144,4041,3355,3192,3083,3142,3552,4738,4371
Trinity County,60-64,1314,1307,1125,926,618,582,532,524,512,773,765
Tulare County,60-64,18605,20381,23064,24004,23959,24590,26955,29908,29910,33192,34789
Tuolumne County,60-64,4639,4656,4532,3745,3189,2938,3110,3299,3283,3953,3849
Ventura County,60-64,42917,50159,57953,58300,53452,50299,49297,52597,52228,58714,57638
Yolo County,60-64,9130,10544,11114,11199,11087,11142,12475,12359,12019,14148,16808
Yuba County,60-64,3488,3901,4364,4486,4397,4439,5001,5305,5551,6165,6241
