NAME,1-4,2010 pop. Estimate for people ages 1-4,2015 pop. Estimate for people ages 1-4,2020 pop. Projection for people ages 1-4,2025 pop. Projection for people ages 1-4, 2030 pop. Projection for people ages 1-4, 2035 pop. Projection for people ages 1-4, 2040 pop. Projection for people ages 1-4, 2050 pop. Projection for people ages 1-4, 2055 pop. Projection for people ages 1-4, 2060 pop. Projection for people ages 1-4
Alameda County,1-4,78476,77248,77658,76369,75129,75626,76964,78877,79215,79124,79814
Alpine County,1-4,63,19,19,28,39,46,36,29,27,30,30
Amador County,1-4,1145,1093,1240,1351,1409,1379,1343,1308,1345,1449,1503
Butte County,1-4,9983,9724,9797,9762,10050,10219,10230,10130,10296,10436,10403
Calaveras County,1-4,1613,1373,1504,1668,1716,1663,1539,1494,1565,1658,1750
Colusa County,1-4,1508,1249,1277,1305,1343,1333,1301,1245,1212,1215,1234
Contra Costa County,1-4,54593,49701,52576,53960,54814,55764,56414,56853,57442,57824,60137
Del Norte County,1-4,1361,1288,1254,1277,1286,1285,1269,1229,1216,1203,1177
El Dorado County,1-4,7761,6274,6341,7134,7962,8472,8436,8087,8081,8618,9187
Fresno County,1-4,63565,63927,60966,62651,64793,66958,69477,71034,71775,72339,74783
Glenn County,1-4,1731,1599,1525,1640,1700,1700,1623,1562,1519,1504,1531
Humboldt County,1-4,6264,6055,6015,5502,5196,5274,5362,5409,5344,5267,5051
Imperial County,1-4,10998,13574,12593,12710,13191,13454,13615,13896,14342,14370,14549
Inyo County,1-4,836,971,789,783,773,772,777,781,757,712,699
Kern County,1-4,58585,56784,55628,59414,63330,66518,69081,70099,70924,73731,76288
Kings County,1-4,10375,9901,9051,9144,9347,9891,10374,10441,10281,9899,9890
Lake County,1-4,2935,3072,2956,3077,3170,3215,3308,3378,3450,3516,3619
Lassen County,1-4,1263,1240,1177,1153,1105,1046,1076,1068,1032,973,934
Los Angeles County,1-4,517408,517645,480441,448627,425003,406462,397158,391333,383498,372710,360052
Madera County,1-4,9674,9320,8938,9230,9950,10406,10603,10748,10678,10983,11430
Marin County,1-4,11334,9599,9032,8729,9165,9969,10598,10336,9729,9236,9163
Mariposa County,1-4,588,624,624,627,682,673,643,658,669,677,716
Mendocino County,1-4,4296,4180,4004,4092,4126,4165,4146,4118,4082,3983,3934
Merced County,1-4,17952,16961,16546,17747,18745,20190,20402,20864,21135,21983,23214
Modoc County,1-4,428,314,358,381,398,388,368,340,329,330,348
Mono County,1-4,723,562,537,502,456,475,485,487,455,418,390
Monterey County,1-4,26256,26133,25028,24447,23926,24094,24690,24535,23818,23048,22734
Napa County,1-4,6568,5926,5804,5926,6030,5879,5890,5836,5549,5503,5544
Nevada County,1-4,3556,3187,3294,3475,3861,4111,3993,3911,3941,4246,4472
Orange County,1-4,155043,153793,148366,138382,134425,130681,129991,128784,128017,124905,122806
Placer County,1-4,16917,14911,15325,16550,17950,18433,18483,17986,17793,18384,19297
Plumas County,1-4,711,617,685,714,728,703,669,656,672,676,691
Riverside County,1-4,131720,122320,125942,127406,127594,126209,125555,123403,123340,122863,122649
Sacramento County,1-4,81499,78760,78285,77959,80055,82569,85719,88436,89093,91280,94275
San Benito County,1-4,3316,2926,3022,3137,3197,3209,3224,3149,3094,3149,3253
San Bernardino County,1-4,128207,122283,120627,119545,120943,123324,126644,130201,134415,136516,141888
San Diego County,1-4,164936,180431,173882,162144,153260,151008,157925,166676,172354,173255,170153
San Francisco County,1-4,27237,34802,35037,34579,30739,29146,30246,32687,35827,38034,38900
San Joaquin County,1-4,43674,41268,42676,43806,45159,45639,46159,46381,46727,46804,47269
San Luis Obispo County,1-4,10694,10458,10593,10232,10024,9800,9828,9681,9370,9267,9262
San Mateo County,1-4,37162,34666,35824,33576,31880,31057,32516,33149,33674,34085,33601
Santa Barbara County,1-4,21985,23119,21954,21362,21410,21426,21537,21549,21645,21299,21390
Santa Clara County,1-4,100979,98781,93275,90274,92611,98548,105749,109570,111473,110146,110935
Santa Cruz County,1-4,12468,13196,11726,11282,11414,11237,11698,12164,12379,12282,11902
Shasta County,1-4,8272,7950,7971,7970,7986,8009,8063,8140,8144,8256,8200
Sierra County,1-4,111,86,115,115,119,127,127,123,122,115,113
Siskiyou County,1-4,2012,1884,1819,1913,2003,2022,1980,1961,1941,1980,2024
Solano County,1-4,21622,20822,21125,21428,22575,22650,23179,23470,23949,23926,24652
Sonoma County,1-4,22567,20352,20320,19631,19170,19033,18819,18468,18252,17700,17881
Stanislaus County,1-4,32113,30636,31544,32454,33716,34022,34220,33980,33809,34095,34237
Sutter County,1-4,5774,5194,5555,5710,5753,5873,5745,5910,5903,6107,6332
Tehama County,1-4,3500,3382,3447,3675,3863,3883,3849,3864,3985,4104,4186
Trinity County,1-4,497,422,440,506,557,548,551,558,598,649,706
Tulare County,1-4,33035,31487,29581,29968,31504,32545,32902,32476,32034,31587,32072
Tuolumne County,1-4,1912,1834,1749,1835,1841,1837,1801,1749,1751,1749,1742
Ventura County,1-4,44779,42482,39659,39138,38818,39129,38628,38045,36866,36127,35739
Yolo County,1-4,10368,10029,10006,10289,10912,11756,13117,13766,14326,14588,14985
Yuba County,1-4,5017,4874,4627,4643,4658,4650,4624,4564,4526,4450,4345
