NAME,10-14,2010 pop. Estimate for people ages 10-14,2015 pop. Estimate for people ages 10-14,2020 pop. Projection for people ages 10-14,2025 pop. Projection for people ages 10-14, 2030 pop. Projection for people ages 10-14, 2035 pop. Projection for people ages 10-14, 2040 pop. Projection for people ages 10-14, 2050 pop. Projection for people ages 10-14, 2055 pop. Projection for people ages 10-14, 2060 pop. Projection for people ages 10-14
Alameda County,10-14,91044,94691,97499,96525,96771,95325,93779,94821,96583,98633,99258
Alpine County,10-14,71,79,69,26,27,37,49,57,46,39,37
Amador County,10-14,1856,1715,1528,1512,1734,1872,1928,1884,1847,1828,1857
Butte County,10-14,12909,12733,13003,12942,13060,13013,13552,13645,13653,13544,13685
Calaveras County,10-14,2746,2219,2067,1898,2132,2357,2411,2354,2207,2188,2294
Colusa County,10-14,1710,1727,1830,1589,1670,1719,1769,1742,1700,1654,1621
Contra Costa County,10-14,74513,75049,73718,69228,72839,74420,75558,76826,77402,77689,78413
Del Norte County,10-14,1736,1511,1699,1615,1586,1602,1620,1628,1613,1570,1544
El Dorado County,10-14,12482,11999,10892,9970,10454,11632,12722,13419,13251,12876,12981
Fresno County,10-14,75262,75176,79978,82510,79779,82057,84982,87611,91075,92956,94112
Glenn County,10-14,2212,2115,2209,2055,1987,2126,2181,2172,2105,2013,1975
Humboldt County,10-14,7224,7354,8127,8039,7906,7345,6924,7000,7203,7283,7151
Imperial County,10-14,14531,14149,14541,18036,17098,17288,17822,18246,18474,19014,19593
Inyo County,10-14,1121,974,1120,1256,1063,1053,1051,1049,1055,1062,1025
Kern County,10-14,68589,69122,73892,72373,73051,78420,83571,87575,90329,91528,92885
Kings County,10-14,11423,12298,14621,14473,13682,13750,14135,14936,15434,15236,15210
Lake County,10-14,3860,3720,3885,4113,4072,4255,4395,4472,4596,4653,4752
Lassen County,10-14,1816,1361,1499,1487,1430,1394,1321,1273,1312,1297,1246
Los Angeles County,10-14,675785,632322,642384,643648,598476,561519,535201,515930,507578,502583,495404
Madera County,10-14,11773,11807,12010,11745,11390,11953,12790,13296,13589,13710,13763
Marin County,10-14,14370,17143,16247,13998,13341,13046,13687,14711,15327,14983,14261
Mariposa County,10-14,993,824,774,815,836,853,937,917,882,913,931
Mendocino County,10-14,5353,5301,5499,5420,5232,5348,5372,5419,5401,5341,5283
Merced County,10-14,22134,22638,23503,22967,22904,24427,25892,27420,27903,28443,29066
Modoc County,10-14,596,560,546,387,450,480,499,484,460,425,413
Mono County,10-14,769,850,867,723,686,647,594,622,627,625,582
Monterey County,10-14,29077,30744,32798,32563,31292,30569,29992,30296,30904,30708,29663
Napa County,10-14,9042,8836,8439,7724,7610,7845,7901,7790,7821,7721,7329
Nevada County,10-14,5754,4939,4554,4356,4547,4889,5292,5581,5484,5414,5572
Orange County,10-14,210908,207602,206981,206030,199013,188143,183770,180298,179319,178420,177201
Placer County,10-14,25095,24271,21994,20057,20884,22520,24328,24875,24676,24206,24096
Plumas County,10-14,1011,955,891,806,898,929,949,911,881,854,880
Riverside County,10-14,177541,171035,175634,172219,177310,179393,179535,177820,177079,174725,175277
Sacramento County,10-14,99597,99852,104164,103274,102715,102916,106172,109425,113225,116662,118041
San Benito County,10-14,4712,4318,4072,3648,3813,3968,4035,4049,4064,3976,3921
San Bernardino County,10-14,168967,163551,171446,173057,173591,174430,177615,182211,187565,192917,199274
San Diego County,10-14,198746,203418,229195,244432,237964,224438,214675,213917,223426,234185,241559
San Francisco County,10-14,26315,28093,33182,41308,41682,40871,36339,34846,36384,39748,43742
San Joaquin County,10-14,56278,56294,58830,57936,59799,61322,63041,63617,64204,64538,64697
San Luis Obispo County,10-14,14190,14432,14088,13879,14042,13503,13327,13025,13227,12915,12576
San Mateo County,10-14,42353,45439,47568,44365,45551,42699,40702,40070,41872,42751,43248
Santa Barbara County,10-14,26528,26428,28027,29148,27610,26755,26815,26702,26816,26700,26760
Santa Clara County,10-14,114103,122892,128972,126589,120285,117238,120915,128637,137509,142345,143950
Santa Cruz County,10-14,15375,15123,17085,18156,16368,15980,16200,16127,16817,17284,17491
Shasta County,10-14,11307,10813,10691,10856,11138,11105,11101,11171,11190,11343,11337
Sierra County,10-14,153,130,147,112,149,152,157,165,162,164,159
Siskiyou County,10-14,2725,2410,2435,2360,2339,2459,2556,2579,2523,2497,2477
Solano County,10-14,28685,28366,29287,29455,29866,30418,31875,31963,32654,33114,33620
Sonoma County,10-14,29739,28836,27580,25128,25348,24430,24034,23835,23669,23237,22815
Stanislaus County,10-14,41117,40690,42677,42566,43748,44781,46261,46622,46820,46394,46068
Sutter County,10-14,7185,7275,7147,6537,7074,7265,7295,7462,7291,7490,7542
Tehama County,10-14,4405,4326,4335,4382,4513,4804,4981,5040,4986,5012,5160
Trinity County,10-14,726,655,621,588,639,731,784,791,789,808,866
Tulare County,10-14,39007,40269,42350,41121,39279,40072,42129,43192,43862,43062,42608
Tuolumne County,10-14,2895,2520,2461,2382,2323,2446,2477,2460,2423,2373,2395
Ventura County,10-14,60282,57421,56294,53987,51285,51033,51012,51133,50450,49697,48163
Yolo County,10-14,12702,13118,15548,16162,16111,16683,17444,18650,20258,21109,21849
Yuba County,10-14,5575,5878,6106,5962,5707,5736,5764,5744,5742,5645,5585
