NAME,45-49,2010 pop. Estimate for people ages 45-49,2015 pop. Estimate for people ages 45-49,2020 pop. Projection for people ages 45-49,2025 pop. Projection for people ages 45-49, 2030 pop. Projection for people ages 45-49, 2035 pop. Projection for people ages 45-49, 2040 pop. Projection for people ages 45-49, 2050 pop. Projection for people ages 45-49, 2055 pop. Projection for people ages 45-49, 2060 pop. Projection for people ages 45-49
Alameda County,45-49,113561,112295,114884,115166,125658,121711,129340,135386,140085,143868,143821
Alpine County,45-49,98,79,55,49,53,51,59,72,82,76,37
Amador County,45-49,3086,2337,2113,2081,2045,2091,2748,2715,2640,2497,2512
Butte County,45-49,13482,11849,11685,12620,13709,13679,16534,17563,18151,18715,18692
Calaveras County,45-49,3346,2541,1976,1830,1897,1981,2936,2820,2452,2360,2268
Colusa County,45-49,1359,1343,1279,1254,1332,1277,1762,1714,1760,1867,1666
Contra Costa County,45-49,83860,80039,76214,79265,88218,88465,94731,97002,97447,96644,91943
Del Norte County,45-49,2176,1591,1391,1467,1505,1373,1855,1984,1872,2065,2032
El Dorado County,45-49,15378,11719,9946,9533,10165,11082,14850,15886,16291,15587,14988
Fresno County,45-49,58704,55604,56725,61388,68034,64307,74965,78041,79461,84806,87600
Glenn County,45-49,1893,1682,1602,1596,1662,1776,2253,2206,2156,2300,2153
Humboldt County,45-49,8632,6816,7757,8534,8872,7065,7050,7468,7669,8396,8338
Imperial County,45-49,11415,10919,10344,10386,10865,11758,14460,14684,14662,15204,18698
Inyo County,45-49,1322,982,923,949,996,805,1009,910,781,907,1055
Kern County,45-49,55597,51389,51621,55740,61854,62118,80332,84339,89339,95463,94751
Kings County,45-49,10529,8101,7251,8078,10237,10273,10722,11544,12659,15020,14944
Lake County,45-49,4708,3824,3290,3234,3623,3785,4593,4425,4394,4687,4896
Lassen County,45-49,2840,2231,1867,1648,1559,1467,1855,1996,1806,1938,1938
Los Angeles County,45-49,706195,711705,701782,697040,723599,642507,691488,675171,647947,668497,679766
Madera County,45-49,9591,9213,9397,9992,11045,12157,14450,15367,16299,17049,17022
Marin County,45-49,20889,20820,19469,16761,15612,14956,16426,17578,19840,18935,16874
Mariposa County,45-49,1423,998,864,816,826,800,1110,1108,980,970,1026
Mendocino County,45-49,5689,5167,5185,5223,5709,5282,5758,5786,5893,6002,5941
Merced County,45-49,16160,15495,16131,17149,19150,18635,23295,24772,25956,27114,27008
Modoc County,45-49,682,548,480,438,437,360,593,592,557,534,384
Mono County,45-49,1110,905,896,886,1158,936,584,665,835,895,770
Monterey County,45-49,26634,26476,27916,29913,31753,28344,30740,31402,32701,34702,34515
Napa County,45-49,9696,9391,8379,8440,9272,9385,10714,11028,10933,10762,10074
Nevada County,45-49,7130,5677,5058,5317,5529,5539,7603,7796,7467,7275,7272
Orange County,45-49,230114,234024,221622,206837,223182,194443,217212,220306,218649,222429,223592
Placer County,45-49,27063,24988,23771,24980,30784,31978,36733,39330,39721,38550,37230
Plumas County,45-49,1410,1001,829,849,876,951,1271,1114,1119,1065,988
Riverside County,45-49,152860,150761,149246,149371,162362,174431,204561,209193,208071,214158,211456
Sacramento County,45-49,101438,96646,98715,107381,117750,107105,126841,133734,137898,143930,144599
San Benito County,45-49,4249,4056,3471,3497,3593,3931,5043,5420,5377,5412,5237
San Bernardino County,45-49,142392,135627,133430,136567,148000,149988,171744,177926,184234,198769,204443
San Diego County,45-49,218362,208350,206471,212930,230599,205456,194499,197252,204584,233948,251289
San Francisco County,45-49,57812,62005,66589,73569,94764,73405,58471,60676,64004,71161,80961
San Joaquin County,45-49,47268,46050,47103,48076,51624,53620,62507,66200,67806,70360,69584
San Luis Obispo County,45-49,18384,15377,13781,14552,15819,15946,15109,16409,16805,16503,16242
San Mateo County,45-49,56503,58667,59039,58364,60078,57798,56739,56266,59704,62603,60196
Santa Barbara County,45-49,27356,24898,25227,27006,29986,28588,29701,29933,29549,31142,32010
Santa Clara County,45-49,138180,139066,142237,143776,153231,134209,142803,154767,169141,178582,178874
Santa Cruz County,45-49,18541,17037,15515,15737,16131,14087,16187,17252,17455,19649,21021
Shasta County,45-49,12772,10325,9253,10069,11349,11860,13632,13321,13242,13288,13610
Sierra County,45-49,256,179,149,110,133,132,194,182,173,189,157
Siskiyou County,45-49,3024,2365,2060,2038,2332,2320,2908,3017,2770,2801,2733
Solano County,45-49,31840,27872,26368,26630,28806,27814,32800,35504,36903,38293,38675
Sonoma County,45-49,35548,32178,29365,32338,36879,34217,35895,37711,38082,37603,35592
Stanislaus County,45-49,35632,33201,32347,33870,37095,35018,44322,47144,47486,49266,48982
Sutter County,45-49,6527,5998,5688,6035,6367,6317,7622,7856,8182,8187,7781
Tehama County,45-49,4604,3618,3410,3223,3249,3745,5000,4558,4587,4584,4686
Trinity County,45-49,1047,695,640,592,574,558,851,822,780,795,751
Tulare County,45-49,26986,26597,27149,29564,32675,32697,36140,37854,41091,43806,43190
Tuolumne County,45-49,3843,2971,2628,2724,2917,2911,3583,3408,3121,3160,3167
Ventura County,45-49,62414,56946,52944,51640,54938,54412,61049,59749,60185,61131,59844
Yolo County,45-49,12499,11950,11897,13258,13133,12683,14976,17649,18666,21153,21809
Yuba County,45-49,4730,4382,4308,4875,5214,5446,6133,6181,6368,6613,6578
