NAME,5-9,2010 pop. Estimate for people ages 5-9,2015 pop. Estimate for people ages 5-9,2020 pop. Projection for people ages 5-9,2025 pop. Projection for people ages 5-9, 2030 pop. Projection for people ages 5-9, 2035 pop. Projection for people ages 5-9, 2040 pop. Projection for people ages 5-9, 2050 pop. Projection for people ages 5-9, 2055 pop. Projection for people ages 5-9, 2060 pop. Projection for people ages 5-9
Alameda County,5-9,94514,97558,96554,96771,95287,93720,94754,96506,98543,99167,98711
Alpine County,5-9,79,69,24,24,37,50,56,45,36,33,37
Amador County,5-9,1649,1484,1424,1643,1783,1837,1797,1756,1733,1777,1907
Butte County,5-9,12456,12582,12436,12504,12462,13008,13097,13095,12985,13134,13354
Calaveras County,5-9,2220,1973,1776,1993,2202,2259,2197,2058,2027,2128,2249
Colusa County,5-9,1727,1818,1567,1638,1686,1733,1708,1666,1611,1574,1578
Contra Costa County,5-9,72365,70859,66316,69898,71483,72618,73869,74511,74881,75677,76383
Del Norte County,5-9,1541,1673,1609,1576,1594,1607,1615,1593,1552,1528,1519
El Dorado County,5-9,11158,9570,8407,8682,9762,10821,11434,11300,10859,10968,11573
Fresno County,5-9,75138,79430,81758,79016,81253,84191,86798,90244,92087,93240,94083
Glenn County,5-9,2122,2165,2005,1928,2073,2130,2118,2037,1958,1913,1899
Humboldt County,5-9,7381,7888,7857,7714,7151,6730,6824,7011,7098,6970,6807
Imperial County,5-9,13893,14205,17613,16631,16814,17335,17760,17976,18509,19086,18996
Inyo County,5-9,980,1056,1195,1001,986,986,981,989,993,954,909
Kern County,5-9,68736,73733,71884,72481,77838,82973,86997,89727,90946,92300,95705
Kings County,5-9,11719,13568,13158,12312,12383,12786,13557,14073,13899,13870,13268
Lake County,5-9,3633,3784,3956,3901,4074,4206,4276,4394,4470,4568,4671
Lassen County,5-9,1545,1540,1508,1446,1412,1346,1289,1326,1309,1262,1190
Los Angeles County,5-9,632962,643485,642907,596866,559036,531771,511593,502271,496269,488063,475426
Madera County,5-9,11775,11993,11619,11245,11786,12607,13115,13396,13511,13553,13890
Marin County,5-9,15642,15161,12923,12245,11938,12564,13592,14224,13879,13143,12504
Mariposa County,5-9,827,754,781,798,820,893,872,841,865,882,892
Mendocino County,5-9,5297,5410,5330,5148,5255,5285,5332,5315,5262,5203,5086
Merced County,5-9,22317,22611,21925,21859,23338,24742,26245,26719,27222,27792,28973
Modoc County,5-9,562,546,388,451,481,500,485,461,426,414,418
Mono County,5-9,828,862,709,673,636,581,609,617,610,569,529
Monterey County,5-9,30699,32678,32475,31203,30484,29904,30215,30806,30607,29569,28674
Napa County,5-9,8526,8178,7443,7316,7531,7598,7477,7522,7388,7013,7064
Nevada County,5-9,4886,4357,4111,4267,4589,4947,5232,5133,5064,5177,5573
Orange County,5-9,199228,200568,198675,191071,179835,175142,171530,170512,169417,168228,164464
Placer County,5-9,23563,21039,19001,19780,21387,23117,23668,23499,23028,22877,23739
Plumas County,5-9,959,881,777,875,912,927,891,853,832,855,866
Riverside County,5-9,166969,168704,164372,169752,171681,171730,169879,169086,166626,167106,166705
Sacramento County,5-9,98336,101394,100156,99501,99607,102658,105899,109604,112991,114219,116925
San Benito County,5-9,4322,4071,3643,3805,3953,4011,4034,4046,3958,3906,3975
San Bernardino County,5-9,159450,162640,160828,159964,160051,162482,166320,170999,175773,181422,185182
San Diego County,5-9,195038,223012,236955,229976,216000,206176,205184,214543,225274,232420,232973
San Francisco County,5-9,28441,33850,41946,42279,41444,36865,35317,36834,40158,44099,46790
San Joaquin County,5-9,55016,56190,55251,57171,58667,60423,60987,61516,61872,62038,62644
San Luis Obispo County,5-9,13775,13457,13161,13357,12819,12661,12333,12549,12254,11951,11662
San Mateo County,5-9,45037,47771,44314,45541,42639,40636,39964,41761,42604,43065,43458
Santa Barbara County,5-9,25913,27960,29104,27583,26770,26849,26808,26980,26893,27019,26490
Santa Clara County,5-9,122363,129113,126223,119892,116838,120500,128218,137083,141900,143470,142166
Santa Cruz County,5-9,14991,16860,17848,16060,15665,15847,15770,16444,16928,17110,17033
Shasta County,5-9,10544,10411,10270,10505,10479,10473,10535,10547,10706,10689,10833
Sierra County,5-9,130,144,107,145,147,152,159,159,160,155,145
Siskiyou County,5-9,2412,2422,2334,2311,2431,2529,2553,2504,2469,2450,2504
Solano County,5-9,27200,27267,27228,27611,28123,29522,29646,30359,30744,31251,31384
Sonoma County,5-9,28999,27693,25116,25298,24350,23940,23729,23558,23127,22707,22181
Stanislaus County,5-9,40199,40870,40733,41925,42990,44455,44865,45154,44738,44468,44677
Sutter County,5-9,7268,7130,6488,7025,7211,7237,7402,7218,7428,7454,7770
Tehama County,5-9,4344,4299,4331,4455,4724,4923,4969,4926,4947,5091,5230
Trinity County,5-9,659,607,559,602,683,748,745,742,756,811,887
Tulare County,5-9,40078,41703,40367,38496,39277,41283,42324,42979,42191,41708,41318
Tuolumne County,5-9,2483,2398,2304,2243,2361,2383,2366,2328,2280,2284,2274
Ventura County,5-9,57024,55982,53325,50541,50248,50194,50308,49608,48868,47308,46441
Yolo County,5-9,12494,14090,14705,14596,15167,15945,17103,18674,19545,20257,20534
Yuba County,5-9,5872,6184,6018,5762,5790,5813,5787,5774,5686,5624,5561
