NAME,50-54,2010 pop. Estimate for people ages 50-54,2015 pop. Estimate for people ages 50-54,2020 pop. Projection for people ages 50-54,2025 pop. Projection for people ages 50-54, 2030 pop. Projection for people ages 50-54, 2035 pop. Projection for people ages 50-54, 2040 pop. Projection for people ages 50-54, 2050 pop. Projection for people ages 50-54, 2055 pop. Projection for people ages 50-54, 2060 pop. Projection for people ages 50-54
Alameda County,50-54,108780,112392,110787,113673,114195,124787,120985,128655,134768,139536,143376
Alpine County,50-54,113,96,79,55,48,53,49,60,73,82,78
Amador County,50-54,3213,2854,2257,2017,1998,1969,2011,2670,2635,2548,2424
Butte County,50-54,14663,12186,10842,10891,11857,12982,12951,15732,16723,17311,17847
Calaveras County,50-54,4129,3276,2576,2042,1924,1978,2072,3021,2905,2550,2463
Colusa County,50-54,1400,1328,1325,1263,1235,1308,1247,1738,1687,1736,1842
Contra Costa County,50-54,80481,84662,80826,77213,80363,89327,89536,95816,98107,98573,97864
Del Norte County,50-54,2219,1960,1420,1249,1328,1363,1239,1712,1837,1725,1909
El Dorado County,50-54,16722,15001,11503,9801,9432,10066,10995,14736,15772,16165,15480
Fresno County,50-54,56185,57274,54802,56139,60777,67434,63817,74353,77417,78825,84159
Glenn County,50-54,1920,1842,1632,1571,1571,1633,1753,2223,2154,2123,2253
Humboldt County,50-54,9923,8318,6635,7542,8355,8680,6916,6894,7297,7480,8206
Imperial County,50-54,11105,10876,10524,10022,10086,10553,11454,14124,14357,14365,14895
Inyo County,50-54,1620,1266,1021,959,993,1040,848,1062,964,831,961
Kern County,50-54,52787,52684,48980,50361,54824,60861,61144,79030,83015,87951,93904
Kings County,50-54,9324,7785,6640,6085,6948,9062,9099,9549,10358,11457,13828
Lake County,50-54,5555,4572,3768,3269,3261,3612,3762,4570,4395,4366,4633
Lassen County,50-54,2577,2382,1883,1544,1316,1240,1144,1525,1663,1476,1620
Los Angeles County,50-54,664340,695323,699968,692921,689857,717621,638558,688365,673247,647389,668542
Madera County,50-54,9389,8593,8996,9836,10638,11760,12910,15243,16229,17196,18049
Marin County,50-54,21127,20514,20439,19114,16437,15323,14663,16131,17283,19529,18653
Mariposa County,50-54,1773,1378,985,871,837,846,818,1135,1128,1006,995
Mendocino County,50-54,6672,5551,5097,5109,5139,5635,5198,5668,5697,5786,5913
Merced County,50-54,14926,15734,15337,16008,17061,19100,18620,23235,24677,25970,27082
Modoc County,50-54,744,653,538,480,439,439,367,590,593,554,537
Mono County,50-54,1221,1106,891,900,891,1148,935,591,672,839,900
Monterey County,50-54,26591,25747,25637,27032,29046,30880,27540,29917,30598,31865,33863
Napa County,50-54,10092,9823,9332,8436,8579,9430,9572,10918,11214,11120,10976
Nevada County,50-54,8520,6994,5727,5165,5466,5659,5738,7769,7997,7665,7509
Orange County,50-54,214860,228447,231111,219373,204980,221328,192900,215755,218856,217306,221148
Placer County,50-54,26312,26777,24829,23702,24963,30804,32020,36723,39372,39719,38633
Plumas County,50-54,1791,1383,986,819,843,869,937,1265,1106,1102,1051
Riverside County,50-54,141095,153240,153787,153435,153615,166786,178909,208919,213700,212840,218944
Sacramento County,50-54,98938,100476,97357,99916,108836,119273,109011,128669,135492,139769,145928
San Benito County,50-54,3989,4191,4008,3461,3496,3597,3928,5058,5418,5372,5390
San Bernardino County,50-54,135424,139109,132564,131325,134764,146240,148446,170005,176297,182651,197136
San Diego County,50-54,211328,215474,204322,203261,210129,228039,203328,192729,195460,202983,232261
San Francisco County,50-54,53929,56675,60758,65415,72444,93602,72440,57773,60035,63386,70595
San Joaquin County,50-54,44873,48511,47890,49024,50213,53752,55719,64426,68103,69689,72265
San Luis Obispo County,50-54,20606,18111,15299,13689,14512,15787,15884,15081,16338,16772,16437
San Mateo County,50-54,54208,57092,58383,59053,58483,60256,57982,57099,56591,60112,62975
Santa Barbara County,50-54,27417,27293,24728,25105,26860,29788,28376,29492,29734,29264,30861
Santa Clara County,50-54,126123,136882,137150,141032,142651,152206,133376,142096,154117,168447,177997
Santa Cruz County,50-54,19995,18247,16790,15357,15614,16011,14010,16104,17149,17345,19562
Shasta County,50-54,13641,12692,10187,9404,10285,11513,12006,13738,13461,13380,13411
Sierra County,50-54,312,251,176,151,109,133,130,191,181,172,189
Siskiyou County,50-54,3770,2950,2289,2010,1981,2281,2269,2836,2945,2706,2732
Solano County,50-54,31838,31033,27568,26172,26463,28581,27634,32575,35191,36634,37975
Sonoma County,50-54,37570,35362,32157,29565,32686,37231,34667,36374,38179,38573,38146
Stanislaus County,50-54,33891,34813,32879,32080,33640,36843,34788,44011,46757,47091,48793
Sutter County,50-54,6192,6427,6135,5964,6359,6750,6736,8079,8324,8681,8755
Tehama County,50-54,4599,4435,3625,3452,3293,3320,3816,5036,4612,4630,4627
Trinity County,50-54,1265,1026,687,632,592,568,559,841,820,774,793
Tulare County,50-54,25390,26212,25937,26565,28939,32020,32051,35363,37117,40294,42915
Tuolumne County,50-54,4665,3589,2857,2568,2682,2873,2872,3543,3380,3092,3123
Ventura County,50-54,61230,61699,55981,52269,51089,54352,53861,60474,59193,59666,60592
Yolo County,50-54,12367,12044,11764,11755,13090,12986,12585,14848,17511,18506,21003
Yuba County,50-54,4778,4611,4492,4441,5030,5345,5581,6249,6294,6497,6731
